Дата,"Время суток, ч",ts,"Потребление за период, м3 ХВС","Потребление за период, м3 ГВС",diff_m3,rel_diff,itp_xvs_zero_anomaly,odpu_gvs_zero_anomaly,itp_xvs_flat_anomaly,odpu_gvs_flat_anomaly,itp_xvs_spike,odpu_gvs_spike,reason_hint
2025-04-14,8,2025-04-14 07:00:00,0.14,0.11,-0.030000000000000013,0.21428571428571436,False,False,False,False,False,False,
2025-04-14,12,2025-04-14 11:00:00,0.16,0.13,-0.03,0.1875,False,False,False,False,False,False,
2025-04-14,13,2025-04-14 12:00:00,0.16,0.13,-0.03,0.1875,False,False,False,False,False,False,
2025-04-14,14,2025-04-14 13:00:00,0.14,0.11,-0.030000000000000013,0.21428571428571436,False,False,False,False,False,False,
2025-04-14,15,2025-04-14 14:00:00,0.12,0.09,-0.03,0.25,False,False,False,False,False,False,
2025-04-14,16,2025-04-14 15:00:00,0.12,0.09,-0.03,0.25,False,False,False,False,False,False,
2025-04-14,17,2025-04-14 16:00:00,0.14,0.11,-0.030000000000000013,0.21428571428571436,False,False,False,False,False,False,
2025-04-14,19,2025-04-14 18:00:00,0.32,0.26,-0.06,0.1875,False,False,False,False,False,False,
2025-04-14,20,2025-04-14 19:00:00,0.44,0.35,-0.09000000000000002,0.2045454545454546,False,False,False,False,False,False,
2025-04-14,21,2025-04-14 20:00:00,0.37,0.3,-0.07,0.1891891891891892,False,False,False,False,False,False,
2025-04-14,22,2025-04-14 21:00:00,0.28,0.22,-0.060000000000000026,0.21428571428571436,False,False,False,False,False,False,
2025-04-14,24,2025-04-14 23:00:00,0.14,0.11,-0.030000000000000013,0.21428571428571436,False,False,False,False,False,False,
2025-04-17,1,2025-04-17 00:00:00,0.11,0.09,-0.020000000000000004,0.18181818181818185,False,False,False,False,False,False,
2025-04-17,2,2025-04-17 01:00:00,0.05,0.04,-0.010000000000000002,0.20000000000000004,False,False,False,False,False,False,
2025-04-17,3,2025-04-17 02:00:00,0.05,0.04,-0.010000000000000002,0.20000000000000004,False,False,False,False,False,False,
2025-04-17,4,2025-04-17 03:00:00,0.05,0.04,-0.010000000000000002,0.20000000000000004,False,False,False,False,False,False,
2025-04-17,5,2025-04-17 04:00:00,0.07,0.05,-0.020000000000000004,0.28571428571428575,False,False,False,False,False,False,
2025-04-17,6,2025-04-17 05:00:00,0.22,0.17,-0.04999999999999999,0.2272727272727272,False,False,False,False,False,False,
2025-04-17,9,2025-04-17 08:00:00,0.22,0.18,-0.04000000000000001,0.18181818181818185,False,False,False,False,False,False,
2025-04-17,10,2025-04-17 09:00:00,0.18,0.14,-0.03999999999999998,0.22222222222222213,False,False,False,False,False,False,
2025-04-17,11,2025-04-17 10:00:00,0.18,0.14,-0.03999999999999998,0.22222222222222213,False,False,False,False,False,False,
2025-04-17,12,2025-04-17 11:00:00,0.16,0.13,-0.03,0.1875,False,False,False,False,False,False,
2025-04-17,13,2025-04-17 12:00:00,0.16,0.13,-0.03,0.1875,False,False,False,False,False,False,
2025-04-17,15,2025-04-17 14:00:00,0.11,0.09,-0.020000000000000004,0.18181818181818185,False,False,False,False,False,False,
2025-04-17,16,2025-04-17 15:00:00,0.11,0.09,-0.020000000000000004,0.18181818181818185,False,False,False,False,False,False,
2025-04-17,18,2025-04-17 17:00:00,0.18,0.14,-0.03999999999999998,0.22222222222222213,False,False,False,False,False,False,
2025-04-17,19,2025-04-17 18:00:00,0.31,0.25,-0.06,0.1935483870967742,False,False,False,False,False,False,
2025-04-17,20,2025-04-17 19:00:00,0.43,0.34,-0.08999999999999997,0.20930232558139528,False,False,False,False,False,True,ОДПУ-ГВС скачок
2025-04-17,21,2025-04-17 20:00:00,0.36,0.29,-0.07,0.19444444444444448,False,False,False,False,False,False,
2025-04-17,22,2025-04-17 21:00:00,0.27,0.22,-0.05000000000000002,0.18518518518518523,False,False,False,False,False,False,
2025-04-17,23,2025-04-17 22:00:00,0.22,0.18,-0.04000000000000001,0.18181818181818185,False,False,False,False,False,False,
2025-04-18,1,2025-04-18 00:00:00,0.11,0.07,-0.039999999999999994,0.3636363636363636,False,False,False,False,False,False,
2025-04-18,2,2025-04-18 01:00:00,0.05,0.03,-0.020000000000000004,0.4000000000000001,False,False,False,False,False,False,
2025-04-18,3,2025-04-18 02:00:00,0.05,0.03,-0.020000000000000004,0.4000000000000001,False,False,False,False,False,False,
2025-04-18,4,2025-04-18 03:00:00,0.05,0.03,-0.020000000000000004,0.4000000000000001,False,False,False,False,False,False,
2025-04-18,5,2025-04-18 04:00:00,0.07,0.04,-0.030000000000000006,0.4285714285714286,False,False,False,False,False,False,
2025-04-18,6,2025-04-18 05:00:00,0.22,0.14,-0.07999999999999999,0.3636363636363636,False,False,False,False,False,False,
2025-04-18,7,2025-04-18 06:00:00,0.14,0.09,-0.05000000000000002,0.3571428571428572,False,False,False,False,False,False,
2025-04-18,8,2025-04-18 07:00:00,0.14,0.09,-0.05000000000000002,0.3571428571428572,False,False,False,False,False,False,
2025-04-18,9,2025-04-18 08:00:00,0.23,0.14,-0.09,0.3913043478260869,False,False,False,False,False,False,
2025-04-18,10,2025-04-18 09:00:00,0.27,0.17,-0.1,0.37037037037037035,False,False,False,False,False,False,
2025-04-18,11,2025-04-18 10:00:00,0.18,0.11,-0.06999999999999999,0.38888888888888884,False,False,False,False,False,False,
2025-04-18,12,2025-04-18 11:00:00,0.16,0.1,-0.06,0.375,False,False,False,False,False,False,
2025-04-18,13,2025-04-18 12:00:00,0.23,0.14,-0.09,0.3913043478260869,False,False,False,False,False,False,
2025-04-18,14,2025-04-18 13:00:00,0.25,0.16,-0.09,0.36,False,False,False,False,False,False,
2025-04-18,15,2025-04-18 14:00:00,0.27,0.17,-0.1,0.37037037037037035,False,False,False,False,False,False,
2025-04-18,16,2025-04-18 15:00:00,0.23,0.14,-0.09,0.3913043478260869,False,False,False,False,False,False,
2025-04-18,17,2025-04-18 16:00:00,0.2,0.13,-0.07,0.35000000000000003,False,False,False,False,False,False,
2025-04-18,18,2025-04-18 17:00:00,0.25,0.16,-0.09,0.36,False,False,False,False,False,False,
2025-04-18,19,2025-04-18 18:00:00,0.32,0.2,-0.12,0.375,False,False,False,False,False,False,
2025-04-18,20,2025-04-18 19:00:00,0.43,0.27,-0.15999999999999998,0.3720930232558139,False,False,False,False,False,False,
2025-04-18,21,2025-04-18 20:00:00,0.32,0.2,-0.12,0.375,False,False,False,False,False,False,
2025-04-18,22,2025-04-18 21:00:00,0.27,0.17,-0.1,0.37037037037037035,False,False,False,False,False,False,
2025-04-18,23,2025-04-18 22:00:00,0.23,0.14,-0.09,0.3913043478260869,False,False,False,False,False,False,
2025-04-18,24,2025-04-18 23:00:00,0.14,0.09,-0.05000000000000002,0.3571428571428572,False,False,False,False,False,False,
2025-04-19,1,2025-04-19 00:00:00,0.1,0.06,-0.04000000000000001,0.4000000000000001,False,False,False,False,False,False,
2025-04-19,2,2025-04-19 01:00:00,0.04,0.03,-0.010000000000000002,0.25000000000000006,False,False,False,False,False,False,
2025-04-19,3,2025-04-19 02:00:00,0.05,0.03,-0.020000000000000004,0.4000000000000001,False,False,False,False,False,False,
2025-04-19,4,2025-04-19 03:00:00,0.05,0.03,-0.020000000000000004,0.4000000000000001,False,False,False,False,False,False,
2025-04-19,5,2025-04-19 04:00:00,0.06,0.04,-0.019999999999999997,0.3333333333333333,False,False,False,False,False,False,
2025-04-19,6,2025-04-19 05:00:00,0.2,0.12,-0.08000000000000002,0.4000000000000001,False,False,False,False,False,False,
2025-04-19,7,2025-04-19 06:00:00,0.12,0.08,-0.039999999999999994,0.3333333333333333,False,False,False,False,False,False,
2025-04-19,8,2025-04-19 07:00:00,0.12,0.08,-0.039999999999999994,0.3333333333333333,False,False,False,False,False,False,
2025-04-19,9,2025-04-19 08:00:00,0.2,0.13,-0.07,0.35000000000000003,False,False,False,False,False,False,
2025-04-19,10,2025-04-19 09:00:00,0.24,0.15,-0.09,0.375,False,False,False,False,False,False,
2025-04-19,11,2025-04-19 10:00:00,0.16,0.1,-0.06,0.375,False,False,False,False,False,False,
2025-04-19,12,2025-04-19 11:00:00,0.14,0.09,-0.05000000000000002,0.3571428571428572,False,False,False,False,False,False,
2025-04-19,13,2025-04-19 12:00:00,0.2,0.13,-0.07,0.35000000000000003,False,False,False,False,False,False,
2025-04-19,14,2025-04-19 13:00:00,0.22,0.14,-0.07999999999999999,0.3636363636363636,False,False,False,False,False,False,
2025-04-19,15,2025-04-19 14:00:00,0.24,0.15,-0.09,0.375,False,False,False,False,False,False,
2025-04-19,16,2025-04-19 15:00:00,0.2,0.13,-0.07,0.35000000000000003,False,False,False,False,False,False,
2025-04-19,17,2025-04-19 16:00:00,0.18,0.11,-0.06999999999999999,0.38888888888888884,False,False,False,False,False,False,
2025-04-19,18,2025-04-19 17:00:00,0.22,0.14,-0.07999999999999999,0.3636363636363636,False,False,False,False,False,False,
2025-04-19,19,2025-04-19 18:00:00,0.28,0.18,-0.10000000000000003,0.3571428571428572,False,False,False,False,False,False,
2025-04-19,20,2025-04-19 19:00:00,0.39,0.24,-0.15000000000000002,0.38461538461538464,False,False,False,False,False,False,
2025-04-19,21,2025-04-19 20:00:00,0.28,0.18,-0.10000000000000003,0.3571428571428572,False,False,False,False,False,False,
2025-04-19,22,2025-04-19 21:00:00,0.24,0.15,-0.09,0.375,False,False,False,False,False,False,
2025-04-19,23,2025-04-19 22:00:00,0.2,0.13,-0.07,0.35000000000000003,False,False,False,False,False,False,
2025-04-19,24,2025-04-19 23:00:00,0.12,0.08,-0.039999999999999994,0.3333333333333333,False,False,False,False,False,False,
2025-04-20,1,2025-04-20 00:00:00,0.11,0.06,-0.05,0.4545454545454546,False,False,False,False,False,False,
2025-04-20,2,2025-04-20 01:00:00,0.04,0.02,-0.02,0.5,False,False,False,False,False,False,
2025-04-20,3,2025-04-20 02:00:00,0.05,0.03,-0.020000000000000004,0.4000000000000001,False,False,False,False,False,False,
2025-04-20,4,2025-04-20 03:00:00,0.05,0.03,-0.020000000000000004,0.4000000000000001,False,False,False,False,False,False,
2025-04-20,5,2025-04-20 04:00:00,0.07,0.03,-0.04000000000000001,0.5714285714285715,False,False,False,False,False,False,
2025-04-20,6,2025-04-20 05:00:00,0.21,0.11,-0.09999999999999999,0.47619047619047616,False,False,False,False,False,False,
2025-04-20,7,2025-04-20 06:00:00,0.13,0.07,-0.06,0.4615384615384615,False,False,False,False,False,False,
2025-04-20,8,2025-04-20 07:00:00,0.13,0.07,-0.06,0.4615384615384615,False,False,False,False,False,False,
2025-04-20,9,2025-04-20 08:00:00,0.22,0.11,-0.11,0.5,False,False,False,False,False,False,
2025-04-20,10,2025-04-20 09:00:00,0.27,0.14,-0.13,0.48148148148148145,False,False,False,False,False,False,
2025-04-20,11,2025-04-20 10:00:00,0.18,0.09,-0.09,0.5,False,False,False,False,False,False,
2025-04-20,12,2025-04-20 11:00:00,0.16,0.08,-0.08,0.5,False,False,False,False,False,False,
2025-04-20,13,2025-04-20 12:00:00,0.22,0.11,-0.11,0.5,False,False,False,False,False,False,
2025-04-20,14,2025-04-20 13:00:00,0.24,0.12,-0.12,0.5,False,False,False,False,False,False,
2025-04-20,15,2025-04-20 14:00:00,0.27,0.14,-0.13,0.48148148148148145,False,False,False,False,False,False,
2025-04-20,16,2025-04-20 15:00:00,0.22,0.11,-0.11,0.5,False,False,False,False,False,False,
2025-04-20,17,2025-04-20 16:00:00,0.2,0.1,-0.1,0.5,False,False,False,False,False,False,
2025-04-20,18,2025-04-20 17:00:00,0.24,0.12,-0.12,0.5,False,False,False,False,False,False,
2025-04-20,19,2025-04-20 18:00:00,0.31,0.16,-0.15,0.48387096774193544,False,False,False,False,False,False,
2025-04-20,20,2025-04-20 19:00:00,0.42,0.22,-0.19999999999999998,0.47619047619047616,False,False,False,False,False,False,
2025-04-20,21,2025-04-20 20:00:00,0.31,0.16,-0.15,0.48387096774193544,False,False,False,False,False,False,
2025-04-20,22,2025-04-20 21:00:00,0.27,0.14,-0.13,0.48148148148148145,False,False,False,False,False,False,
2025-04-20,23,2025-04-20 22:00:00,0.22,0.11,-0.11,0.5,False,False,False,False,False,False,
2025-04-20,24,2025-04-20 23:00:00,0.13,0.07,-0.06,0.4615384615384615,False,False,False,False,False,False,
2025-04-21,1,2025-04-21 00:00:00,0.11,0.06,-0.05,0.4545454545454546,False,False,False,False,False,False,
2025-04-21,2,2025-04-21 01:00:00,0.04,0.02,-0.02,0.5,False,False,False,False,False,False,
2025-04-21,3,2025-04-21 02:00:00,0.05,0.03,-0.020000000000000004,0.4000000000000001,False,False,False,False,False,False,
2025-04-21,4,2025-04-21 03:00:00,0.05,0.03,-0.020000000000000004,0.4000000000000001,False,False,False,False,False,False,
2025-04-21,5,2025-04-21 04:00:00,0.06,0.04,-0.019999999999999997,0.3333333333333333,False,False,False,False,False,False,
2025-04-21,6,2025-04-21 05:00:00,0.2,0.12,-0.08000000000000002,0.4000000000000001,False,False,False,False,False,False,
2025-04-21,7,2025-04-21 06:00:00,0.13,0.07,-0.06,0.4615384615384615,False,False,False,False,False,False,
2025-04-21,8,2025-04-21 07:00:00,0.13,0.07,-0.06,0.4615384615384615,False,False,False,False,False,False,
2025-04-21,9,2025-04-21 08:00:00,0.21,0.12,-0.09,0.42857142857142855,False,False,False,False,False,False,
2025-04-21,10,2025-04-21 09:00:00,0.17,0.1,-0.07,0.411764705882353,False,False,False,False,False,False,
2025-04-21,11,2025-04-21 10:00:00,0.17,0.1,-0.07,0.411764705882353,False,False,False,False,False,False,
2025-04-21,12,2025-04-21 11:00:00,0.15,0.08,-0.06999999999999999,0.4666666666666666,False,False,False,False,False,False,
2025-04-21,13,2025-04-21 12:00:00,0.15,0.08,-0.06999999999999999,0.4666666666666666,False,False,False,False,False,False,
2025-04-21,14,2025-04-21 13:00:00,0.13,0.07,-0.06,0.4615384615384615,False,False,False,False,False,False,
2025-04-21,15,2025-04-21 14:00:00,0.11,0.06,-0.05,0.4545454545454546,False,False,False,False,False,False,
2025-04-21,16,2025-04-21 15:00:00,0.11,0.06,-0.05,0.4545454545454546,False,False,False,False,False,False,
2025-04-21,17,2025-04-21 16:00:00,0.13,0.07,-0.06,0.4615384615384615,False,False,False,False,False,False,
2025-04-21,18,2025-04-21 17:00:00,0.17,0.1,-0.07,0.411764705882353,False,False,False,False,False,False,
2025-04-21,19,2025-04-21 18:00:00,0.3,0.17,-0.12999999999999998,0.4333333333333333,False,False,False,False,False,False,
2025-04-21,20,2025-04-21 19:00:00,0.4,0.23,-0.17,0.425,False,False,False,False,False,True,ОДПУ-ГВС скачок
2025-04-21,21,2025-04-21 20:00:00,0.34,0.19,-0.15000000000000002,0.44117647058823534,False,False,False,False,False,False,
2025-04-21,22,2025-04-21 21:00:00,0.26,0.14,-0.12,0.4615384615384615,False,False,False,False,False,False,
2025-04-21,23,2025-04-21 22:00:00,0.21,0.12,-0.09,0.42857142857142855,False,False,False,False,False,False,
2025-04-21,24,2025-04-21 23:00:00,0.13,0.07,-0.06,0.4615384615384615,False,False,False,False,False,False,
2025-04-22,1,2025-04-22 00:00:00,0.12,0.05,-0.06999999999999999,0.5833333333333333,False,False,False,False,False,False,
2025-04-22,2,2025-04-22 01:00:00,0.05,0.02,-0.030000000000000002,0.6,False,False,False,False,False,False,
2025-04-22,3,2025-04-22 02:00:00,0.06,0.03,-0.03,0.5,False,False,False,False,False,False,
2025-04-22,4,2025-04-22 03:00:00,0.06,0.03,-0.03,0.5,False,False,False,False,False,False,
2025-04-22,5,2025-04-22 04:00:00,0.07,0.03,-0.04000000000000001,0.5714285714285715,False,False,False,False,False,False,
2025-04-22,6,2025-04-22 05:00:00,0.22,0.1,-0.12,0.5454545454545454,False,False,False,False,False,False,
2025-04-22,7,2025-04-22 06:00:00,0.14,0.07,-0.07,0.5,False,False,False,False,False,False,
2025-04-22,8,2025-04-22 07:00:00,0.14,0.07,-0.07,0.5,False,False,False,False,False,False,
2025-04-22,9,2025-04-22 08:00:00,0.23,0.11,-0.12000000000000001,0.5217391304347826,False,False,False,False,False,False,
2025-04-22,10,2025-04-22 09:00:00,0.18,0.09,-0.09,0.5,False,False,False,False,False,False,
2025-04-22,11,2025-04-22 10:00:00,0.18,0.09,-0.09,0.5,False,False,False,False,False,False,
2025-04-22,12,2025-04-22 11:00:00,0.16,0.08,-0.08,0.5,False,False,False,False,False,False,
2025-04-22,13,2025-04-22 12:00:00,0.16,0.08,-0.08,0.5,False,False,False,False,False,False,
2025-04-22,14,2025-04-22 13:00:00,0.14,0.07,-0.07,0.5,False,False,False,False,False,False,
2025-04-22,15,2025-04-22 14:00:00,0.12,0.05,-0.06999999999999999,0.5833333333333333,False,False,False,False,False,False,
2025-04-22,16,2025-04-22 15:00:00,0.12,0.05,-0.06999999999999999,0.5833333333333333,False,False,False,False,False,False,
2025-04-22,17,2025-04-22 16:00:00,0.14,0.07,-0.07,0.5,False,False,False,False,False,False,
2025-04-22,18,2025-04-22 17:00:00,0.18,0.09,-0.09,0.5,False,False,False,False,False,False,
2025-04-22,19,2025-04-22 18:00:00,0.32,0.15,-0.17,0.53125,False,False,False,False,False,False,
2025-04-22,20,2025-04-22 19:00:00,0.44,0.21,-0.23,0.5227272727272727,False,False,False,False,True,False,ИТП-ХВС скачок
2025-04-22,21,2025-04-22 20:00:00,0.37,0.17,-0.19999999999999998,0.5405405405405405,False,False,False,False,False,False,
2025-04-22,22,2025-04-22 21:00:00,0.28,0.13,-0.15000000000000002,0.5357142857142857,False,False,False,False,False,False,
2025-04-22,23,2025-04-22 22:00:00,0.23,0.11,-0.12000000000000001,0.5217391304347826,False,False,False,False,False,False,
2025-04-22,24,2025-04-22 23:00:00,0.14,0.07,-0.07,0.5,False,False,False,False,False,False,
2025-04-23,1,2025-04-23 00:00:00,0.1,0.05,-0.05,0.5,False,False,False,False,False,False,
2025-04-23,2,2025-04-23 01:00:00,0.04,0.02,-0.02,0.5,False,False,False,False,False,False,
2025-04-23,3,2025-04-23 02:00:00,0.05,0.02,-0.030000000000000002,0.6,False,False,False,False,False,False,
2025-04-23,4,2025-04-23 03:00:00,0.05,0.02,-0.030000000000000002,0.6,False,False,False,False,False,False,
2025-04-23,5,2025-04-23 04:00:00,0.06,0.03,-0.03,0.5,False,False,False,False,False,False,
2025-04-23,6,2025-04-23 05:00:00,0.2,0.09,-0.11000000000000001,0.55,False,False,False,False,False,False,
2025-04-23,7,2025-04-23 06:00:00,0.12,0.06,-0.06,0.5,False,False,False,False,False,False,
2025-04-23,8,2025-04-23 07:00:00,0.12,0.06,-0.06,0.5,False,False,False,False,False,False,
2025-04-23,9,2025-04-23 08:00:00,0.21,0.1,-0.10999999999999999,0.5238095238095237,False,False,False,False,False,False,
2025-04-23,10,2025-04-23 09:00:00,0.17,0.08,-0.09000000000000001,0.5294117647058824,False,False,False,False,False,False,
2025-04-23,11,2025-04-23 10:00:00,0.17,0.08,-0.09000000000000001,0.5294117647058824,False,False,False,False,False,False,
2025-04-23,12,2025-04-23 11:00:00,0.15,0.07,-0.07999999999999999,0.5333333333333333,False,False,False,False,False,False,
2025-04-23,13,2025-04-23 12:00:00,0.15,0.07,-0.07999999999999999,0.5333333333333333,False,False,False,False,False,False,
2025-04-23,14,2025-04-23 13:00:00,0.12,0.06,-0.06,0.5,False,False,False,False,False,False,
2025-04-23,15,2025-04-23 14:00:00,0.1,0.05,-0.05,0.5,False,False,False,False,False,False,
2025-04-23,16,2025-04-23 15:00:00,0.1,0.05,-0.05,0.5,False,False,False,False,False,False,
2025-04-23,17,2025-04-23 16:00:00,0.12,0.06,-0.06,0.5,False,False,False,False,False,False,
2025-04-23,18,2025-04-23 17:00:00,0.17,0.08,-0.09000000000000001,0.5294117647058824,False,False,False,False,False,False,
2025-04-23,19,2025-04-23 18:00:00,0.29,0.14,-0.14999999999999997,0.5172413793103448,False,False,False,False,False,False,
2025-04-23,20,2025-04-23 19:00:00,0.39,0.19,-0.2,0.5128205128205129,False,False,False,False,False,True,ОДПУ-ГВС скачок
2025-04-23,21,2025-04-23 20:00:00,0.33,0.16,-0.17,0.5151515151515151,False,False,False,False,False,False,
2025-04-23,22,2025-04-23 21:00:00,0.25,0.12,-0.13,0.52,False,False,False,False,False,False,
2025-04-23,23,2025-04-23 22:00:00,0.21,0.1,-0.10999999999999999,0.5238095238095237,False,False,False,False,False,False,
2025-04-23,24,2025-04-23 23:00:00,0.12,0.06,-0.06,0.5,False,False,False,False,False,False,
2025-04-24,1,2025-04-24 00:00:00,0.11,0.04,-0.07,0.6363636363636365,False,False,False,False,False,False,
2025-04-24,2,2025-04-24 01:00:00,0.05,0.02,-0.030000000000000002,0.6,False,False,False,False,False,False,
2025-04-24,3,2025-04-24 02:00:00,0.05,0.02,-0.030000000000000002,0.6,False,False,False,False,False,False,
2025-04-24,4,2025-04-24 03:00:00,0.05,0.02,-0.030000000000000002,0.6,False,False,False,False,False,False,
2025-04-24,5,2025-04-24 04:00:00,0.07,0.02,-0.05,0.7142857142857143,False,False,False,False,False,False,
2025-04-24,6,2025-04-24 05:00:00,0.22,0.08,-0.14,0.6363636363636365,False,False,False,False,False,False,
2025-04-24,7,2025-04-24 06:00:00,0.13,0.05,-0.08,0.6153846153846154,False,False,False,False,False,False,
2025-04-24,8,2025-04-24 07:00:00,0.13,0.05,-0.08,0.6153846153846154,False,False,False,False,False,False,
2025-04-24,9,2025-04-24 08:00:00,0.22,0.08,-0.14,0.6363636363636365,False,False,False,False,False,False,
2025-04-24,10,2025-04-24 09:00:00,0.18,0.07,-0.10999999999999999,0.611111111111111,False,False,False,False,False,False,
2025-04-24,11,2025-04-24 10:00:00,0.18,0.07,-0.10999999999999999,0.611111111111111,False,False,False,False,False,False,
2025-04-24,12,2025-04-24 11:00:00,0.16,0.06,-0.1,0.625,False,False,False,False,False,False,
2025-04-24,13,2025-04-24 12:00:00,0.16,0.06,-0.1,0.625,False,False,False,False,False,False,
2025-04-24,14,2025-04-24 13:00:00,0.13,0.05,-0.08,0.6153846153846154,False,False,False,False,False,False,
2025-04-24,15,2025-04-24 14:00:00,0.11,0.04,-0.07,0.6363636363636365,False,False,False,False,False,False,
2025-04-24,16,2025-04-24 15:00:00,0.11,0.04,-0.07,0.6363636363636365,False,False,False,False,False,False,
2025-04-24,17,2025-04-24 16:00:00,0.13,0.05,-0.08,0.6153846153846154,False,False,False,False,False,False,
2025-04-24,18,2025-04-24 17:00:00,0.18,0.07,-0.10999999999999999,0.611111111111111,False,False,False,False,False,False,
2025-04-24,19,2025-04-24 18:00:00,0.31,0.11,-0.2,0.6451612903225807,False,False,False,False,False,False,
2025-04-24,20,2025-04-24 19:00:00,0.43,0.16,-0.27,0.627906976744186,False,False,False,False,False,True,ОДПУ-ГВС скачок
2025-04-24,21,2025-04-24 20:00:00,0.36,0.13,-0.22999999999999998,0.6388888888888888,False,False,False,False,False,False,
2025-04-24,22,2025-04-24 21:00:00,0.27,0.1,-0.17,0.6296296296296297,False,False,False,False,False,False,
2025-04-24,23,2025-04-24 22:00:00,0.22,0.08,-0.14,0.6363636363636365,False,False,False,False,False,False,
2025-04-24,24,2025-04-24 23:00:00,0.13,0.05,-0.08,0.6153846153846154,False,False,False,False,False,False,
2025-04-25,1,2025-04-25 00:00:00,0.11,0.02,-0.09,0.8181818181818181,False,False,False,False,False,False,
2025-04-25,2,2025-04-25 01:00:00,0.04,0.01,-0.03,0.75,False,False,False,False,False,False,
2025-04-25,3,2025-04-25 02:00:00,0.05,0.01,-0.04,0.7999999999999999,False,False,False,False,False,False,
2025-04-25,4,2025-04-25 03:00:00,0.05,0.01,-0.04,0.7999999999999999,False,False,False,False,False,False,
2025-04-25,5,2025-04-25 04:00:00,0.07,0.01,-0.060000000000000005,0.8571428571428571,False,False,False,False,False,False,
2025-04-25,6,2025-04-25 05:00:00,0.21,0.05,-0.15999999999999998,0.7619047619047619,False,False,False,False,False,False,
2025-04-25,7,2025-04-25 06:00:00,0.13,0.03,-0.1,0.7692307692307693,False,False,False,False,False,False,
2025-04-25,8,2025-04-25 07:00:00,0.13,0.03,-0.1,0.7692307692307693,False,False,False,False,False,False,
2025-04-25,9,2025-04-25 08:00:00,0.22,0.05,-0.16999999999999998,0.7727272727272727,False,False,False,False,False,False,
2025-04-25,10,2025-04-25 09:00:00,0.27,0.06,-0.21000000000000002,0.7777777777777778,False,False,False,False,False,False,
